181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
181,181,181,181,181,181,181,181,181,181,181,181,181,181,182,182,181,181,181,181,181,182,182,181,181,181
181,181,181,181,181,181,181,181,181,181,181,181,181,182,182,182,181,181,181,181,182,182,182,181,182,181
181,181,181,181,181,181,181,181,181,181,181,181,181,182,182,181,181,181,182,182,182,182,182,182,182,181
181,181,181,181,181,181,181,181,182,182,182,182,182,182,182,182,181,182,182,182,182,182,182,182,182,181
181,181,181,181,181,181,181,182,182,182,182,182,182,182,182,182,182,182,182,181,182,181,182,182,182,181
181,181,181,181,181,181,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,181
359,359,359,359,360,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,181
391,391,391,391,392,182,182,182,182,182,182,181,181,182,182,181,182,182,182,182,182,182,182,182,182,181
391,391,391,391,327,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359
391,391,391,391,391,391,295,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
296,391,391,391,391,391,392,182,182,182,182,182,181,182,182,182,182,182,182,182,182,182,182,182,182,181
390,391,391,391,391,391,392,182,182,182,181,182,182,182,181,181,182,182,182,182,182,182,182,182,182,182
422,423,423,423,423,423,424,182,182,181,181,182,182,182,181,181,182,182,182,182,182,182,182,182,182,182
181,182,182,182,182,182,182,182,182,182,181,182,182,181,181,181,182,182,182,182,182,182,182,182,182,182
181,182,182,182,182,182,182,182,182,182,182,181,182,182,182,182,182,182,182,182,181,182,182,182,182,182
181,182,182,182,181,182,182,182,181,182,182,182,182,182,182,182,182,182,182,182,181,182,182,182,182,182
181,182,182,182,181,182,182,182,181,181,182,182,182,182,182,182,182,182,181,182,181,182,182,182,182,182
181,182,182,182,181,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181
181,182,182,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181
