388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,324,357,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,292,421,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,292,421,391,391
388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,389,391,391,391
388,388,388,388,388,388,292,420,420,420,420,420,420,420,420,420,421,391,391,391
388,388,388,388,388,292,421,391,391,391,391,391,391,391,391,391,391,391,391,391
420,420,420,420,420,421,391,391,391,391,391,391,391,391,391,391,391,391,391,391
